MARKET,spend_domain,year_month,spend_amount,trans_count,brand_count
Dallas / Houston,Energy,2021-05,217853576.16940007,4367285.5563,53
Dallas / Houston,Food,2021-05,39246919.1179,2576497.3331999998,21
Dallas / Houston,Lodging,2021-05,6415128.7051,31679.315799999997,8
Dallas / Houston,Energy,2021-06,216737634.53489998,4483296.082,53
Dallas / Houston,Food,2021-06,36752781.7767,2447207.1997,22
Dallas / Houston,Lodging,2021-06,8233754.074200001,36958.730599999995,8
Dallas / Houston,Energy,2021-07,223274284.76869988,4623235.576000003,53
Dallas / Houston,Food,2021-07,37763352.43190001,2500332.3257999998,23
Dallas / Houston,Lodging,2021-07,10017993.083300002,43028.8469,8
Dallas / Houston,Energy,2021-08,223146942.06870002,4564389.062599998,55
Dallas / Houston,Food,2021-08,38118357.5053,2537785.7680000006,23
Dallas / Houston,Lodging,2021-08,7036380.271400001,31752.1798,8
Dallas / Houston,Energy,2021-09,213422332.87710005,4323490.9581,55
Dallas / Houston,Food,2021-09,38375476.47140001,2556750.4699000004,22
Dallas / Houston,Lodging,2021-09,5792764.8926,28115.049100000004,8
Dallas / Houston,Energy,2021-10,237127883.6803,4608716.201400001,54
Dallas / Houston,Food,2021-10,40823926.68069999,2677222.9228999997,23
Dallas / Houston,Lodging,2021-10,6446903.997,30665.34019999999,8
Dallas / Houston,Energy,2021-11,238757348.00059998,4416080.5808000015,54
Dallas / Houston,Food,2021-11,41170184.0699,2556308.5173000004,23
Dallas / Houston,Lodging,2021-11,6239005.8592,28865.045200000004,8
